customer_id,total_transactions,total_volume,total_revenue,avg_transaction_value,fraud_transactions,anomaly_transactions,signup_date,customer_segment,acquisition_channel,churn_flag,customer_age_days,cac,ltv
1,18,8755.01,43.77,486.38944444444445,1,0,2025-09-11,Standard,Google Ads,False,274,80,43.77
2,17,2732.9,13.65,160.75882352941176,1,0,2025-08-30,Standard,Referral,True,286,20,13.65
3,22,3200.51,16.01,145.4777272727273,0,0,2025-06-21,Standard,Organic,True,356,0,16.01
4,26,4275.3,21.37,164.4346153846154,1,0,2024-08-22,Standard,Organic,False,659,0,21.37
5,13,2125.62,10.64,163.50923076923075,0,0,2026-05-20,Standard,Organic,False,23,0,10.64
6,30,10337.24,51.67,344.57466666666664,0,0,2024-01-09,Standard,Organic,True,885,0,51.67
7,17,85522.83,427.63,5030.754705882353,1,1,2025-06-04,Premium,Organic,False,373,0,427.63
8,23,17451.05,87.24,758.741304347826,2,0,2023-06-18,Premium,Facebook Ads,False,1090,60,87.24
9,26,4813.98,24.07,185.1530769230769,0,0,2025-07-20,Standard,Google Ads,False,327,80,24.07
10,17,3169.59,15.86,186.44647058823531,0,0,2024-03-15,Standard,Organic,False,819,0,15.86
11,19,3148.13,15.74,165.69105263157894,0,0,2023-09-30,Standard,Google Ads,False,986,80,15.74
12,18,2704.16,13.51,150.2311111111111,0,0,2026-06-09,Standard,Google Ads,False,3,80,13.51
13,21,3868.54,19.34,184.21619047619046,0,0,2023-11-04,Standard,Referral,False,951,20,19.34
14,17,14163.8,70.83,833.1647058823529,0,0,2023-08-07,Premium,Google Ads,False,1040,80,70.83
15,22,3460.95,17.32,157.3159090909091,0,0,2023-10-14,Standard,Organic,False,972,0,17.32
16,22,3266.34,16.31,148.47,0,0,2025-07-06,Standard,Organic,False,341,0,16.31
17,16,2845.29,14.22,177.830625,0,0,2024-01-31,Standard,Google Ads,False,863,80,14.22
18,14,11898.69,59.5,849.9064285714286,0,0,2024-04-10,Premium,Organic,False,793,0,59.5
19,19,3011.63,15.06,158.50684210526316,0,0,2024-03-11,Standard,Organic,False,823,0,15.06
20,21,3855.83,19.27,183.61095238095237,1,0,2023-11-08,Standard,LinkedIn,False,947,120,19.27
21,20,2976.26,14.87,148.81300000000002,0,0,2025-06-28,Standard,LinkedIn,False,349,120,14.87
22,16,2218.5,11.07,138.65625,1,0,2026-01-05,Standard,Referral,False,158,20,11.07
23,28,4216.73,21.1,150.5975,0,0,2024-09-06,Standard,LinkedIn,False,644,120,21.1
