transaction_id,customer_id,transaction_date,transaction_type,amount,transaction_fee,status,merchant_category,device_type,country,is_fraud,anomaly_flag,rule_alert,z_score,zscore_alert,if_prediction,if_alert
38,3980,2024-08-04 10:21:54.380965,Online Purchase,9126.49,45.63,Completed,Subscriptions,Mobile,Turkmenistan,False,False,False,1.1212335421383532,False,-1,True
133,1393,2025-10-17 07:18:12.442577,Bank Transfer,9250.0,46.25,Completed,Subscriptions,Desktop,Cocos (Keeling) Islands,False,True,False,1.1379500730279273,False,-1,True
191,4616,2024-11-27 03:26:07.995888,Online Purchase,169643.25,848.22,Completed,Travel,Mobile,Angola,False,True,True,22.846465319600384,True,-1,True
374,1463,2025-12-17 08:47:13.303710,Card Payment,67111.8,335.56,Completed,Groceries,Mobile,Syrian Arab Republic,False,True,True,8.969288159226231,True,-1,True
459,3980,2025-07-12 06:44:31.656113,Online Purchase,9724.42,48.62,Failed,Restaurants,Mobile,Mayotte,False,False,False,1.2021607165760748,False,-1,True
493,753,2025-04-25 10:28:55.693086,Online Purchase,9174.36,45.87,Completed,Subscriptions,Desktop,United States Minor Outlying Islands,False,False,False,1.1277125343955303,False,-1,True
812,195,2024-07-25 22:44:29.594526,Bank Transfer,9841.59,49.21,Completed,Entertainment,Desktop,Greenland,False,False,False,1.2180191565755194,False,-1,True
883,1746,2025-10-28 22:56:45.394221,Direct Debit,9848.65,49.24,Completed,Groceries,Mobile,Belize,False,False,False,1.2189746962733607,False,-1,True
924,4295,2024-06-23 14:17:35.934474,ATM Withdrawal,9020.87,45.1,Completed,Entertainment,Desktop,Sao Tome and Principe,False,False,False,1.106938343429287,False,-1,True
1077,4615,2025-11-01 05:03:46.233322,Bank Transfer,10730.24,53.65,Completed,Subscriptions,Mobile,Armenia,False,True,False,1.3382939940382343,False,-1,True
1201,1717,2025-03-21 19:04:05.998122,Card Payment,9886.44,49.43,Completed,Healthcare,Mobile,Ukraine,False,False,False,1.2240894052225715,False,-1,True
1335,2104,2025-05-09 18:14:04.528132,ATM Withdrawal,25093.12,125.47,Completed,Entertainment,Mobile,Niue,False,True,True,3.2822461208558567,True,-1,True
1350,1017,2024-12-03 18:55:37.423815,Card Payment,29353.72,146.77,Completed,Entertainment,Mobile,Malawi,False,True,True,3.8588994404908576,True,-1,True
1421,888,2024-06-16 15:44:23.676340,Card Payment,9164.72,45.82,Completed,Healthcare,Mobile,Austria,False,False,False,1.126407803136721,False,-1,True
1739,4436,2024-06-24 17:06:46.685319,Card Payment,9939.36,49.7,Completed,Groceries,Mobile,Jordan,False,False,False,1.231251892589394,False,-1,True
1906,3939,2025-11-24 20:44:17.685805,Direct Debit,9327.36,46.64,Completed,Utilities,Mobile,Antarctica (the territory South of 60 deg S),False,False,False,1.148420406034303,False,-1,True
1993,228,2024-09-29 16:44:19.651321,Online Purchase,11135.42,55.68,Failed,Subscriptions,Tablet,South Georgia and the South Sandwich Islands,False,True,False,1.39313331057809,False,-1,True
